Year,Population,Men,Women
1970,130000,65000,65000
1971,133742,60211,61548
1972,126156,57687,59826
1973,121758,56023,58799
1974,118817,57773,60985
1975,122184,59298,62795
1976,125571,56813,60977
1977,121849,55453,59969
1978,119368,54490,59591
1979,117748,56122,61558
1980,120921,57575,63195
1981,124044,55892,62035
1982,121822,55146,61688
1983,120597,54628,61569
1984,119827,56203,63481
1985,122837,57409,65074
1986,126287,56562,64491
1987,124743,56081,64272
1988,123906,55840,64316
1989,123891,57313,66219
1990,127269,58700,67989
1991,130705,58241,67732
1992,130074,58100,67849
1993,130301,58324,68416
1994,131274,60078,70606
1995,135070,61621,72561
1996,138914,61551,72985
1997,139338,61895,73553
1998,140402,62461,74595
1999,142034,64256,76889
2000,146091,65866,78946
