Year,Population,Men,Women
1970,130000,65000,65000
1971,133716,60262,61348
1972,125876,57648,59562
1973,121333,55957,58398
1974,118287,57696,60530
1975,121692,59167,62441
1976,125045,56779,60641
1977,121446,55249,59852
1978,118922,54435,59289
1979,117441,56088,61274
1980,120603,57482,62977
1981,123744,55972,61827
1982,121668,55187,61447
1983,120412,54670,61429
1984,119723,56267,63302
1985,122627,57475,64843
1986,126188,56707,64292
1987,124620,56133,63954
1988,123769,55885,64080
1989,123642,57375,65935
1990,127047,58719,67685
1991,130429,58221,67591
1992,129986,57964,67832
1993,130166,58226,68431
1994,131204,59948,70678
1995,135008,61485,72618
1996,138701,61411,72858
1997,139021,61606,73456
1998,139986,62147,74582
1999,141699,63984,76850
2000,145754,65648,78895
